18:59:24.196827 [queue=1] packet #0, 127.0.0.1:49624 -> 127.0.0.1:8007, sz=0 is delayed for 560µs
18:59:24.197849 [queue=0] packet #0, 127.0.0.1:49624 -> 127.0.0.1:8007, sz=0 is delivered
18:59:29.203272 [queue=1] packet #0, 127.0.0.1:49624 -> 127.0.0.1:8007, sz=0 is delayed for 220µs
18:59:29.203816 [queue=0] packet #0, 127.0.0.1:49624 -> 127.0.0.1:8007, sz=0 is delivered
18:59:34.211892 [queue=1] packet #0, 127.0.0.1:49624 -> 127.0.0.1:8007, sz=0 is delayed for 740µs
18:59:34.213081 [queue=0] packet #0, 127.0.0.1:49624 -> 127.0.0.1:8007, sz=0 is delivered
18:59:39.218217 [queue=1] packet #0, 127.0.0.1:49624 -> 127.0.0.1:8007, sz=0 is delayed for 1.9ms
18:59:39.220549 [queue=0] packet #0, 127.0.0.1:49624 -> 127.0.0.1:8007, sz=0 is delivered
18:59:44.225457 [queue=1] packet #0, 127.0.0.1:49624 -> 127.0.0.1:8007, sz=0 is delayed for 560µs
18:59:44.226588 [queue=0] packet #0, 127.0.0.1:49624 -> 127.0.0.1:8007, sz=0 is delivered
18:59:49.231631 [queue=1] packet #0, 127.0.0.1:49624 -> 127.0.0.1:8007, sz=0 is delayed for 940µs
18:59:49.232962 [queue=0] packet #0, 127.0.0.1:49624 -> 127.0.0.1:8007, sz=0 is delivered
19:05:44.781012 config: drop-rate=0.00, max-delay=5ms, seed=0
19:05:44.782479 router is listening at :3000
19:06:48.576843 [queue=1] packet #0, 127.0.0.1:50444 -> 127.0.0.1:8007, sz=0 is delayed for 700µs
19:06:48.578556 [queue=0] packet #0, 127.0.0.1:50444 -> 127.0.0.1:8007, sz=0 is delivered
19:06:48.579090 [queue=1] packet #0, 127.0.0.1:8007 -> 127.0.0.1:50444, sz=0 is delayed for 300µs
19:06:48.579841 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:50444, sz=0 is delivered
19:06:48.581224 [queue=1] packet #0, 127.0.0.1:50444 -> 127.0.0.1:8007, sz=0 is delayed for 4.8ms
19:06:48.581300 [queue=2] packet #0, 127.0.0.1:50444 -> 127.0.0.1:8007, sz=70 is delayed for 3.85ms
